Type,Name,Where,Source
Variable,NEXT_PUBLIC_SUPABASE_URL,.env.local,"Supabase prosjekt-URL (Anon/Client)"
Variable,NEXT_PUBLIC_SUPABASE_ANON_KEY,.env.local,"Supabase Anon API key"
Variable,SUPABASE_SERVICE_URL,".env.local; Cloudflare Worker (plain text); GitHub Actions (secret ok)","Supabase prosjekt-URL (samme som over)"
Secret,SUPABASE_SERVICE_ROLE_KEY,".env.local; Cloudflare Worker (secret); GitHub Actions (secret)","Supabase Service Role key"
Secret,ANTHROPIC_API_KEY,".env.local; Cloudflare Worker (secret); GitHub Actions (secret)","Anthropic Console"
Secret,MAILCHANNELS_AUTH_TOKEN,".env.local; Cloudflare Worker (secret); GitHub Actions (secret)","MailChannels Console → API Tokens"
Secret,MAILCHANNELS_SMTP_PASSWORD,".env.local; Cloudflare Worker (secret, hvis du bruker SMTP); GitHub Actions (secret)","MailChannels Console → SMTP Passwords"
Variable,MAIL_FROM_ADDRESS,".env.local; Cloudflare Worker (plain text); GitHub Actions (secret or variable)","Din e-postadresse (f.eks. ikkesvar@tazk.no)"
Variable,MAIL_FROM_NAME,".env.local; Cloudflare Worker (plain text); GitHub Actions (variable)","Fritt valgt visningsnavn (f.eks. Budbringer)"
Variable,MAIL_REPLY_TO,".env.local; Cloudflare Worker (plain text); GitHub Actions (variable)","Svaradresse (f.eks. ikkesvar@tazk.no eller kontakt@tazk.no)"
Variable,PUBLIC_SITE_URL,".env.local; Cloudflare Worker (plain text); GitHub Actions (variable)","URL til nettsiden (f.eks. https://tazk.no)"
Secret,UNSUBSCRIBE_SECRET,".env.local; Cloudflare Worker (secret); GitHub Actions (secret)","Egen generert hemmelig streng (f.eks. openssl rand -hex 32)"
Secret,DISPATCH_TOKEN,"Cloudflare Worker (secret); GitHub Actions (secret); .env.local (optional)","Egen generert hemmelig streng for worker-auth"
Variable,DISPATCH_URL,"GitHub Actions (variable); .env.local (optional)","Cloudflare Workers endpoint (https://budbringer-dispatch...)"
Variable (optional),ENABLE_TTS,".env.local; GitHub Actions (if TTS enabled)","Sett manuelt til true/false"
Variable (optional),PIPER_VOICE,".env.local; GitHub Actions (if TTS enabled)","Navnet på Piper-stemmen (f.eks. nb_NO-karlsen-medium)"
Secret (optional),OPENAI_API_KEY,".env.local; GitHub Actions (if OpenAI used)","OpenAI dashboard"
